Best score of 198.93 achieved after training 186 episodes
Chosen hyperparameters: {'seed': 10, 'observation': 'NGreedy5', 'environment': <environment.Environment object at 0x000002549E35FFD0>, 'variant': 0, 'input_shape': 29, 'hidden_size': 256, 'early_stopping': 20, 'validation_after_episodes': 5, 'lr_actor': 0.001, 'lr_critic_1': 0.005, 'lr_critic_2': 0.005, 'return_lambda': 0.875, 'gamma': 0.9, 'clip_epsilon': 0.05, 'episode_steps': 200, 'no_of_actors': 10, 'actor_updates_per_episode': 100, 'critic_updates_per_episode': 100, 'clip_annealing_factor': 0.99}

Episode number of best validation run: 186

Actions taken in best validation run: [0, 3, 2, 2, 2, 4, 4, 4, 1, 3, 2, 4, 1, 4, 3, 3, 2, 0, 1, 4, 1, 3, 2, 4, 1, 2, 2, 2, 2, 4, 4, 4, 4, 1, 1, 2, 3, 2, 2, 3, 4, 4, 4, 2, 1, 4, 3, 0, 2, 2, 1, 4, 4, 3, 1, 1, 2, 2, 3, 4, 4, 3, 3, 3, 1, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 1, 3, 3, 1, 1, 3, 2, 2, 2, 2, 4, 4, 4, 1, 4, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 2, 2, 2, 4, 4, 4, 1, 4, 0, 4, 2, 2, 2, 4, 4, 4, 2, 4, 3, 2, 2, 2, 4, 4, 1, 4, 2, 4, 1, 1, 3, 3, 4, 4, 4, 4, 4, 1, 3, 4, 0, 4, 0, 0, 2, 2, 4, 4, 2, 2, 2, 4, 4, 4, 2, 2, 4, 4, 3, 2, 2, 4, 4, 1, 4, 0, 4, 2, 2, 2, 2, 4, 4, 4, 4, 2, 1, 4, 3, 3, 1, 1, 1, 2, 4, 3, 3, 2, 2, 2, 2, 1, 3, 4, 4, 4, 4, 0, 0]

Score history:
episode: 84 | episode reward: 5.40 | validation reward: None | actor loss: -0.04 | actions: [60.7, 9.4, 53.5, 62.0, 14.4]
episode: 85 | episode reward: 13.70 | validation reward: 5.82 | actor loss: -0.16 | actions: [81.5, 18.4, 65.5, 25.3, 9.3]
episode: 86 | episode reward: 4.10 | validation reward: None | actor loss: 0.38 | actions: [69.0, 21.6, 53.5, 42.1, 13.8]
episode: 87 | episode reward: 9.90 | validation reward: None | actor loss: -0.10 | actions: [59.4, 25.0, 55.6, 51.3, 8.7]
episode: 88 | episode reward: 3.40 | validation reward: None | actor loss: 0.10 | actions: [67.2, 23.1, 58.3, 43.1, 8.3]
episode: 89 | episode reward: 9.50 | validation reward: None | actor loss: -0.04 | actions: [81.9, 33.2, 65.5, 13.1, 6.3]
episode: 90 | episode reward: 0.30 | validation reward: 7.82 | actor loss: 0.28 | actions: [79.6, 22.5, 55.4, 32.2, 10.3]
episode: 91 | episode reward: 5.40 | validation reward: None | actor loss: -0.07 | actions: [83.9, 26.1, 62.1, 22.3, 5.6]
episode: 92 | episode reward: 1.40 | validation reward: None | actor loss: -0.01 | actions: [92.3, 17.2, 64.7, 19.4, 6.4]
episode: 93 | episode reward: 6.40 | validation reward: None | actor loss: 0.07 | actions: [77.6, 25.4, 65.5, 22.3, 9.2]
episode: 94 | episode reward: 6.70 | validation reward: None | actor loss: -0.04 | actions: [79.3, 26.0, 63.0, 23.8, 7.9]
episode: 95 | episode reward: 6.50 | validation reward: 5.87 | actor loss: -0.02 | actions: [81.3, 21.3, 56.7, 31.2, 9.5]
episode: 96 | episode reward: 4.70 | validation reward: None | actor loss: -0.06 | actions: [96.7, 12.2, 66.8, 16.4, 7.9]
episode: 97 | episode reward: -0.55 | validation reward: None | actor loss: 0.22 | actions: [62.8, 22.2, 61.7, 48.2, 5.1]
episode: 98 | episode reward: 7.30 | validation reward: None | actor loss: -0.18 | actions: [86.9, 28.1, 64.3, 12.8, 7.9]
episode: 99 | episode reward: 2.90 | validation reward: None | actor loss: 0.03 | actions: [77.8, 30.1, 65.1, 24.1, 2.9]
episode: 100 | episode reward: 1.70 | validation reward: 7.70 | actor loss: -0.05 | actions: [96.0, 22.4, 68.9, 9.0, 3.7]
episode: 101 | episode reward: 2.40 | validation reward: None | actor loss: 0.13 | actions: [80.6, 20.9, 71.3, 14.2, 13.0]
episode: 102 | episode reward: 4.10 | validation reward: None | actor loss: -0.07 | actions: [77.9, 17.7, 75.1, 23.2, 6.1]
episode: 103 | episode reward: 13.45 | validation reward: None | actor loss: 0.06 | actions: [77.3, 32.6, 67.3, 5.0, 17.8]
episode: 104 | episode reward: 10.95 | validation reward: None | actor loss: 0.16 | actions: [57.9, 38.5, 64.7, 22.2, 16.7]
episode: 105 | episode reward: 4.70 | validation reward: 8.98 | actor loss: -0.12 | actions: [63.9, 9.5, 72.0, 48.5, 6.1]
episode: 106 | episode reward: 9.70 | validation reward: None | actor loss: 0.06 | actions: [64.8, 22.2, 73.4, 28.7, 10.9]
episode: 107 | episode reward: 7.50 | validation reward: None | actor loss: -0.01 | actions: [60.8, 19.9, 68.5, 33.8, 17.0]
episode: 108 | episode reward: 11.10 | validation reward: None | actor loss: -0.16 | actions: [85.8, 26.1, 78.7, 1.9, 7.5]
episode: 109 | episode reward: 0.35 | validation reward: None | actor loss: 0.41 | actions: [71.6, 23.3, 66.3, 32.1, 6.7]
episode: 110 | episode reward: 10.05 | validation reward: 11.15 | actor loss: 0.02 | actions: [58.8, 39.8, 66.8, 17.5, 17.1]
episode: 111 | episode reward: 16.50 | validation reward: None | actor loss: -0.13 | actions: [73.8, 26.7, 65.9, 6.5, 27.1]
episode: 112 | episode reward: 20.75 | validation reward: None | actor loss: -0.00 | actions: [68.7, 27.4, 65.0, 10.3, 28.6]
episode: 113 | episode reward: 23.15 | validation reward: None | actor loss: 0.07 | actions: [58.9, 22.3, 55.0, 20.0, 43.8]
episode: 114 | episode reward: 12.20 | validation reward: None | actor loss: -0.08 | actions: [64.4, 22.2, 62.6, 33.6, 17.2]
episode: 115 | episode reward: 10.80 | validation reward: 16.05 | actor loss: 0.13 | actions: [73.3, 31.3, 74.4, 6.0, 15.0]
episode: 116 | episode reward: 26.80 | validation reward: None | actor loss: -0.29 | actions: [75.4, 25.0, 70.5, 5.8, 23.3]
episode: 117 | episode reward: 12.00 | validation reward: None | actor loss: 0.08 | actions: [79.4, 32.0, 73.7, 3.3, 11.6]
episode: 118 | episode reward: 11.90 | validation reward: None | actor loss: -0.03 | actions: [80.2, 29.1, 71.0, 6.1, 13.6]
episode: 119 | episode reward: 39.05 | validation reward: None | actor loss: -0.13 | actions: [65.7, 27.7, 59.9, 8.8, 37.9]
episode: 120 | episode reward: 23.10 | validation reward: 33.78 | actor loss: 0.01 | actions: [75.4, 24.0, 67.1, 6.4, 27.1]
episode: 121 | episode reward: 32.25 | validation reward: None | actor loss: 0.17 | actions: [53.5, 30.6, 63.9, 14.4, 37.6]
episode: 122 | episode reward: 26.85 | validation reward: None | actor loss: 0.05 | actions: [67.5, 26.5, 66.5, 7.0, 32.5]
episode: 123 | episode reward: 54.30 | validation reward: None | actor loss: -0.29 | actions: [50.6, 29.5, 63.0, 15.9, 41.0]
episode: 124 | episode reward: 26.15 | validation reward: None | actor loss: 0.18 | actions: [61.2, 28.7, 62.8, 15.2, 32.1]
