Best score of 187.43 achieved after training 186 episodes
Chosen hyperparameters: {'seed': 10, 'observation': 'NGreedy5', 'environment': <environment.Environment object at 0x000002549E35FFD0>, 'variant': 0, 'input_shape': 29, 'hidden_size': 256, 'early_stopping': 20, 'validation_after_episodes': 5, 'lr_actor': 0.001, 'lr_critic_1': 0.005, 'lr_critic_2': 0.0001, 'return_lambda': 0.875, 'gamma': 0.9, 'clip_epsilon': 0.05, 'episode_steps': 200, 'no_of_actors': 5, 'actor_updates_per_episode': 100, 'critic_updates_per_episode': 100, 'clip_annealing_factor': 0.99}

Episode number of best validation run: 186

Actions taken in best validation run: [0, 2, 2, 2, 2, 4, 4, 4, 4, 3, 2, 4, 1, 0, 3, 3, 2, 1, 1, 4, 3, 2, 1, 4, 2, 2, 2, 2, 4, 4, 4, 4, 1, 1, 2, 2, 3, 3, 4, 4, 2, 2, 3, 2, 4, 4, 1, 4, 1, 2, 2, 3, 4, 4, 1, 1, 2, 2, 4, 4, 3, 3, 3, 3, 1, 1, 3, 2, 1, 4, 3, 2, 1, 4, 3, 3, 3, 1, 1, 2, 2, 2, 2, 3, 4, 1, 4, 4, 4, 0, 2, 3, 3, 2, 4, 1, 1, 4, 1, 3, 2, 2, 3, 2, 1, 4, 4, 4, 4, 4, 0, 2, 2, 2, 4, 4, 4, 2, 4, 3, 2, 1, 4, 1, 2, 1, 4, 3, 3, 1, 1, 3, 3, 0, 0, 0, 0, 0, 1, 3, 0, 4, 4, 0, 0, 2, 2, 4, 4, 2, 2, 2, 4, 4, 4, 2, 2, 4, 4, 3, 2, 2, 4, 4, 1, 0, 0, 0, 2, 2, 3, 3, 1, 1, 4, 4, 2, 1, 4, 3, 3, 1, 1, 1, 2, 3, 4, 3, 2, 2, 2, 2, 1, 0, 3, 4, 4, 4, 4, 0]

Score history:
episode: 54 | episode reward: 38.00 | validation reward: None | actor loss: -0.14 | actions: [75.2, 30.4, 44.6, 20.2, 29.6]
episode: 55 | episode reward: 15.60 | validation reward: 38.63 | actor loss: -0.13 | actions: [68.2, 51.0, 57.6, 7.0, 16.2]
episode: 56 | episode reward: 15.90 | validation reward: None | actor loss: -0.12 | actions: [70.6, 50.4, 58.0, 6.2, 14.8]
episode: 57 | episode reward: 33.00 | validation reward: None | actor loss: 0.07 | actions: [74.6, 36.2, 50.8, 14.0, 24.4]
episode: 58 | episode reward: 10.30 | validation reward: None | actor loss: 0.40 | actions: [74.4, 37.6, 45.4, 19.8, 22.8]
episode: 59 | episode reward: 3.70 | validation reward: None | actor loss: 0.05 | actions: [67.2, 45.4, 57.6, 15.2, 14.6]
episode: 60 | episode reward: 17.90 | validation reward: 30.52 | actor loss: -0.29 | actions: [71.8, 34.2, 59.8, 12.6, 21.6]
episode: 61 | episode reward: 41.70 | validation reward: None | actor loss: -0.50 | actions: [73.0, 43.0, 55.6, 6.0, 22.4]
episode: 62 | episode reward: 35.60 | validation reward: None | actor loss: 0.33 | actions: [70.2, 38.6, 67.2, 5.2, 18.8]
episode: 63 | episode reward: 56.40 | validation reward: None | actor loss: -0.12 | actions: [68.8, 26.8, 48.8, 20.4, 35.2]
episode: 64 | episode reward: 84.10 | validation reward: None | actor loss: -0.09 | actions: [75.6, 20.2, 44.2, 12.8, 47.2]
episode: 65 | episode reward: 42.50 | validation reward: 49.97 | actor loss: 0.46 | actions: [72.4, 32.4, 52.2, 10.0, 33.0]
episode: 66 | episode reward: 59.40 | validation reward: None | actor loss: -0.18 | actions: [68.0, 28.0, 46.0, 15.8, 42.2]
episode: 67 | episode reward: 72.40 | validation reward: None | actor loss: -0.19 | actions: [77.4, 21.4, 43.6, 12.0, 45.6]
episode: 68 | episode reward: 82.50 | validation reward: None | actor loss: -0.22 | actions: [72.8, 20.2, 45.4, 16.4, 45.2]
episode: 69 | episode reward: 50.70 | validation reward: None | actor loss: 0.58 | actions: [85.0, 19.4, 39.8, 14.2, 41.6]
episode: 70 | episode reward: 71.50 | validation reward: 71.61 | actor loss: -0.61 | actions: [72.6, 25.4, 45.4, 14.6, 42.0]
episode: 71 | episode reward: 63.40 | validation reward: None | actor loss: 0.30 | actions: [65.0, 27.2, 43.0, 17.2, 47.6]
episode: 72 | episode reward: 39.40 | validation reward: None | actor loss: 0.00 | actions: [69.6, 36.0, 52.4, 11.4, 30.6]
episode: 73 | episode reward: 52.20 | validation reward: None | actor loss: 0.11 | actions: [69.8, 32.0, 48.4, 14.0, 35.8]
episode: 74 | episode reward: 101.70 | validation reward: None | actor loss: -0.81 | actions: [59.0, 23.2, 41.6, 21.4, 54.8]
episode: 75 | episode reward: 101.10 | validation reward: 77.93 | actor loss: -0.03 | actions: [58.6, 26.0, 48.2, 18.6, 48.6]
episode: 76 | episode reward: 92.50 | validation reward: None | actor loss: 0.16 | actions: [62.2, 22.4, 37.0, 24.8, 53.6]
episode: 77 | episode reward: 104.10 | validation reward: None | actor loss: -0.18 | actions: [50.0, 20.0, 57.2, 21.8, 51.0]
episode: 78 | episode reward: 78.70 | validation reward: None | actor loss: 0.26 | actions: [62.2, 26.4, 46.8, 18.0, 46.6]
episode: 79 | episode reward: 97.90 | validation reward: None | actor loss: -0.48 | actions: [55.4, 29.6, 50.0, 19.0, 46.0]
episode: 80 | episode reward: 109.80 | validation reward: 102.30 | actor loss: -0.28 | actions: [60.2, 25.2, 47.8, 20.2, 46.6]
episode: 81 | episode reward: 119.20 | validation reward: None | actor loss: -0.24 | actions: [60.2, 22.0, 44.6, 19.4, 53.8]
episode: 82 | episode reward: 141.20 | validation reward: None | actor loss: -0.38 | actions: [58.2, 22.0, 42.4, 22.4, 55.0]
episode: 83 | episode reward: 120.10 | validation reward: None | actor loss: 0.38 | actions: [58.6, 19.4, 47.4, 21.8, 52.8]
episode: 84 | episode reward: 158.80 | validation reward: None | actor loss: -0.84 | actions: [52.4, 22.0, 46.6, 21.4, 57.6]
episode: 85 | episode reward: 98.40 | validation reward: 121.89 | actor loss: 0.94 | actions: [52.0, 24.0, 45.4, 23.6, 55.0]
episode: 86 | episode reward: 119.10 | validation reward: None | actor loss: -0.69 | actions: [56.0, 25.2, 42.8, 21.4, 54.6]
episode: 87 | episode reward: 140.40 | validation reward: None | actor loss: -0.23 | actions: [59.4, 20.2, 40.6, 18.0, 61.8]
episode: 88 | episode reward: 129.30 | validation reward: None | actor loss: 0.18 | actions: [49.0, 22.2, 44.2, 21.6, 63.0]
episode: 89 | episode reward: 124.70 | validation reward: None | actor loss: -0.08 | actions: [47.2, 21.4, 45.2, 22.4, 63.8]
episode: 90 | episode reward: 148.40 | validation reward: 136.32 | actor loss: -0.59 | actions: [53.6, 22.0, 43.0, 19.6, 61.8]
episode: 91 | episode reward: 137.80 | validation reward: None | actor loss: -0.22 | actions: [63.4, 16.6, 36.8, 15.8, 67.4]
episode: 92 | episode reward: 152.50 | validation reward: None | actor loss: -0.21 | actions: [47.8, 20.2, 49.6, 19.6, 62.8]
episode: 93 | episode reward: 149.70 | validation reward: None | actor loss: -0.03 | actions: [49.4, 23.8, 46.4, 19.8, 60.6]
episode: 94 | episode reward: 144.30 | validation reward: None | actor loss: -0.03 | actions: [51.8, 23.0, 44.0, 22.6, 58.6]
episode: 95 | episode reward: 130.20 | validation reward: 138.62 | actor loss: 0.07 | actions: [48.2, 22.2, 46.2, 21.8, 61.6]
episode: 96 | episode reward: 151.90 | validation reward: None | actor loss: -0.48 | actions: [45.8, 28.6, 39.8, 30.4, 55.4]
episode: 97 | episode reward: 161.40 | validation reward: None | actor loss: -0.56 | actions: [47.8, 20.6, 44.8, 21.2, 65.6]
episode: 98 | episode reward: 127.20 | validation reward: None | actor loss: 0.32 | actions: [53.0, 26.0, 39.6, 23.0, 58.4]
episode: 99 | episode reward: 125.00 | validation reward: None | actor loss: -0.03 | actions: [47.0, 26.0, 41.6, 25.4, 60.0]
episode: 100 | episode reward: 153.70 | validation reward: 147.46 | actor loss: -0.83 | actions: [47.8, 23.4, 43.6, 20.8, 64.4]
episode: 101 | episode reward: 145.90 | validation reward: None | actor loss: 0.25 | actions: [46.0, 23.2, 46.4, 23.0, 61.4]
episode: 102 | episode reward: 140.30 | validation reward: None | actor loss: -0.34 | actions: [45.2, 30.0, 39.8, 26.4, 58.6]
episode: 103 | episode reward: 149.00 | validation reward: None | actor loss: -0.15 | actions: [49.4, 22.8, 44.6, 23.2, 60.0]
episode: 104 | episode reward: 149.30 | validation reward: None | actor loss: -0.26 | actions: [44.6, 25.0, 43.4, 24.4, 62.6]
episode: 105 | episode reward: 141.60 | validation reward: 152.68 | actor loss: 0.07 | actions: [47.8, 23.0, 43.4, 26.6, 59.2]
episode: 106 | episode reward: 172.00 | validation reward: None | actor loss: -0.65 | actions: [42.4, 21.0, 47.6, 21.8, 67.2]
episode: 107 | episode reward: 170.00 | validation reward: None | actor loss: -0.20 | actions: [38.0, 28.0, 44.6, 27.8, 61.6]
episode: 108 | episode reward: 156.30 | validation reward: None | actor loss: -0.06 | actions: [46.4, 24.4, 42.0, 25.6, 61.6]
episode: 109 | episode reward: 161.40 | validation reward: None | actor loss: -0.18 | actions: [37.6, 28.0, 44.4, 27.6, 62.4]
episode: 110 | episode reward: 150.60 | validation reward: 157.27 | actor loss: -0.22 | actions: [44.6, 24.6, 43.6, 21.6, 65.6]
episode: 111 | episode reward: 169.20 | validation reward: None | actor loss: -0.04 | actions: [33.2, 26.0, 49.8, 28.6, 62.4]
episode: 112 | episode reward: 169.70 | validation reward: None | actor loss: -0.26 | actions: [36.6, 23.8, 51.0, 23.8, 64.8]
episode: 113 | episode reward: 185.10 | validation reward: None | actor loss: -0.30 | actions: [38.6, 25.8, 48.0, 24.0, 63.6]
